AR,HARP
12093,4252
12095,4265
12096,4272
12100,4288
12102,4294
12104,4296
12106,4294
12107,4296
12108,4296
12108,4315
12109,4321
12113,4344
12113,4817
12114,4351
12121,4379
12123,4383
12125,4390
12126,4383
12127,4396
12130,4396
12132,4396
12134,4424
12177,4610
12178,4616
12181,4616
12181,4623
12182,4639
12185,4639
12185,4661
12186,4667
12192,4698
12193,4711
12195,4726
12196,4733
12201,4760
12203,4764
12205,4781
12208,4800
12209,4817
12214,4817
12216,4851
12217,4862
12219,4868
12221,4872
12222,4874
12226,4862
12227,4888
12230,4900
12231,4888
12232,4908
12234,4921
12235,4920
12237,4920
12241,4941
12242,4920
12244,4963
12245,4969
12248,4978
12249,4955
12250,4995
12251,5002
12253,5011
12255,5022
12257,5026
12259,5039
12260,5051
12262,5028
12266,5075
12268,5107
12273,5118
12275,5112
12277,5127
12279,5107
12280,5144
12281,5151
12282,5186
12283,5211
12289,5230
12290,5233
12292,5246
12293,5249
12294,5246
12297,5298
12302,5315
12303,5342
12305,5354
12309,5342
12309,5351
12309,5361
12310,5366
12312,5366
12312,5387
12315,5375
12318,5422
12320,5415
12321,5447
12322,5446
12324,5447
12325,5447
12325,5456
12326,5447
12326,5500
12327,5462
12331,5462
12332,5461
12333,5492
12335,5526
12336,5535
12338,5537
12339,5541
12342,5545
12343,5545
12344,5549
12346,5549
12349,5571
12351,5586
12360,5637
12361,5644
12362,5644
12364,5658
12365,5653
12367,5673
12368,5675
12371,5692
12373,5718
12376,5718
12378,5738
12378,5750
12381,5745
12384,5758
12385,5739
12387,5789
12389,5808
12390,5807
12391,5818
12393,5823
12394,5831
12396,5848
12400,5865
12401,5880
12403,5885
12405,5916
12409,5935
12414,5944
12415,5956
12418,5961
12419,5963
12420,5974
12421,5976
12422,5983
12423,5982
12427,5991
12428,5990
12432,6006
12434,6015
12435,6026
12436,6027
12437,6026
12441,6060
12443,6063
12445,6052
12446,6069
12448,6075
12449,6078
12450,6078
12454,6100
12457,6124
12458,6136
12459,6140
12463,6155
12464,6164
12465,6167
12466,6155
12468,6172
12469,6178
12470,6178
12472,6205
12473,6206
12476,6224
12480,6242
12484,6258
12486,6281
12487,6281
12488,6289
12489,6301
12490,6302
12491,6313
12492,6317
12493,6319
12494,6320
12495,6324
12496,6327
12497,6327
12500,6356
12501,6359
12503,6353
12503,6361
12505,6361
12506,6383
12511,6398
12512,6399
12513,6403
12514,6399
12515,6404
12519,6418
12521,6424
12522,6427
12526,6454
12529,6483
12532,6500
12535,6507
12536,6515
12537,6518
12539,6523
12546,6558
12548,6566
12550,6591
12552,6599
12553,6613
12554,6615
12555,6626
12561,6661
12562,6662
12564,6666
12565,6670
12567,6670
12570,6688
12570,6693
12571,6692
12572,6688
12572,6693
12574,6699
12576,6703
12578,6711
12579,6716
12581,6722
12583,6716
12585,6731
12591,6745
12592,6759
12593,6764
12593,6777
12595,6754
12597,6769
12598,6789
12599,6794
12601,6789
12602,6803
12610,6838
12611,6846
12614,6868
12615,6870
12617,6881
12621,6895
12628,6920
12629,6930
12635,6949
12638,6952
12640,6957
12641,6961
12644,6972
12645,6975
12648,6982
12650,6983
12651,6986
12652,6986
12653,6994
12655,7003
12658,7015
12659,7022
12660,7015
12661,7034
12663,7050
12664,7058
12665,7075
12670,7100
12671,7107
12672,7110
12673,7115
12674,7117
12677,7122
12680,7131
12681,7144
12682,7147
12683,7148
12685,7169
12686,7171
12687,7189
12688,7190
12689,7192
12690,7202
12692,7211
12696,7229
12697,7235
12699,7237
12700,7240
12703,7246
12704,7248
12706,7251
12710,7260
12711,7261
12712,7262
12713,7269
12714,7274
12715,7275
12718,7298
12719,7299
12720,7300
12724,7312
12728,7324
12729,7325
12731,7327
12733,7334
12734,7348
12735,7351
12736,7350
12738,7353
12740,7357
12741,7358
12756,7403
12757,7405
12759,7412
12762,7415
12765,7422
12769,7435
12770,7436
12772,7440
12773,7450
12774,7453
12776,7454
12777,7457
12778,7463
12779,7463
12780,7466
12781,7468
12782,7470
12783,7472
12785,7477
12786,7477
12787,7484
12788,7477
12790,7493
12791,7498
12792,7502
12793,7503
12794,7510
12795,7513
